tconst,averageRating,numVotes
tt0000009,5.6,76
tt0000147,5.2,289
tt0000335,6.3,39
tt0000574,6.2,502
tt0000615,4.8,14
tt0000630,2.9,11
tt0000675,4.5,10
tt0000676,3.8,8
tt0000679,4.8,32
tt0000739,6.1,8
tt0000793,4.4,8
tt0000886,5.1,19
tt0000941,4.4,9
tt0001028,4.2,9
tt0001049,3.8,8
tt0001112,3.4,15
tt0001115,4.7,11
tt0001175,5.6,21
tt0001184,3.1,10
tt0001240,3.7,13
tt0001258,5.7,68
tt0001277,4.8,10
tt0001285,5.2,28
tt0001338,6.0,5
tt0001370,5.2,15
tt0001381,5.2,18
tt0001440,4.8,11
tt0001475,7.3,14
tt0001482,5.1,26
tt0001530,5.5,10
tt0001692,5.3,9
tt0001790,5.8,21
tt0001892,6.1,162
tt0001911,4.2,8
tt0001964,6.2,45
tt0001993,4.2,11
tt0001998,4.2,13
tt0002101,5.1,383
tt0002130,7.1,1836
tt0002153,5.7,39
tt0002186,6.4,69
tt0002199,5.7,417
tt0002305,7.5,15
tt0002405,4.7,19
tt0002406,4.4,12
tt0002423,6.9,674
tt0002445,6.3,225
tt0002452,6.8,183
tt0002461,5.6,203
tt0002514,5.8,8
tt0002555,5.0,25
tt0002605,5.9,16
tt0002628,5.7,60
tt0002646,6.7,290
tt0002669,6.2,19
tt0002678,5.9,11
tt0002736,6.1,8
tt0002767,5.4,34
tt0002822,4.3,25
tt0002832,8.0,10
tt0002844,6.9,1799
tt0002885,5.9,86
tt0002898,6.9,79
tt0002917,5.7,24
tt0002922,4.9,34
tt0002973,5.2,6
tt0003006,5.8,9
tt0003014,7.2,854
tt0003015,4.6,35
tt0003022,5.4,38
tt0003037,6.9,1257
tt0003102,6.5,82
tt0003131,6.9,92
tt0003159,5.6,20
tt0003165,6.9,971
tt0003167,6.0,164
tt0003214,6.5,192
tt0003241,4.7,9
tt0003301,5.8,29
tt0003330,6.3,77
tt0003337,5.7,28
tt0003362,5.2,10
tt0003379,3.9,9
tt0003386,8.1,10
tt0003419,6.6,1543
tt0003438,5.8,20
tt0003442,5.2,8
tt0003471,6.1,509
tt0003489,6.1,444
tt0003508,5.8,8
tt0003545,5.3,12
tt0003565,6.2,16
tt0003584,7.0,11
tt0003587,5.6,18
tt0003589,6.6,9
tt0003591,7.2,6
tt0003595,4.1,10
tt0003596,6.2,40
tt0003598,5.0,7
tt0003599,7.0,6
tt0003600,6.4,9
tt0003617,3.1,10
tt0003618,8.2,16
tt0003625,5.5,13
tt0003632,7.6,5
tt0003637,6.6,344
tt0003643,6.9,1002
tt0003657,6.7,111
tt0003665,6.4,45
tt0003668,5.7,11
tt0003670,6.5,21
tt0003675,6.9,9
tt0003692,6.8,8
tt0003698,7.2,23
tt0003724,6.1,12
tt0003731,4.8,9
tt0003740,6.8,2747
tt0003743,5.5,23
tt0003750,5.3,7
tt0003772,6.6,896
tt0003816,5.2,8
tt0003838,6.0,18
tt0003854,3.7,17
tt0003869,5.4,8
tt0003883,7.7,262
tt0003884,6.9,68
tt0003886,7.8,6
tt0003890,6.1,15
tt0003897,6.5,39
tt0003930,6.8,1082
tt0003952,6.9,861
tt0003965,8.1,10
tt0003973,6.0,172
tt0004013,4.9,15
tt0004022,6.4,35
tt0004026,6.1,973
tt0004027,5.8,11
tt0004028,4.2,18
tt0004052,6.9,71
tt0004057,6.1,8
tt0004066,7.1,434
tt0004099,5.0,383
tt0004121,5.2,42
tt0004125,3.8,5
tt0004134,6.6,412
tt0004150,6.0,361
tt0004164,3.0,20
tt0004167,6.4,8
tt0004179,5.2,18
tt0004181,7.2,1148
tt0004182,7.2,41
tt0004205,6.6,5
tt0004207,5.2,9
tt0004223,6.5,36
tt0004238,5.4,8
tt0004249,4.9,8
tt0004253,6.4,9
tt0004272,5.9,7
tt0004295,8.9,19
tt0004307,5.9,7
tt0004313,4.9,10
tt0004319,4.6,11
tt0004325,5.6,12
tt0004328,5.3,13
tt0004336,5.5,21
tt0004369,5.9,16
tt0004371,6.8,8
tt0004381,1.9,9
tt0004384,4.5,10
tt0004387,5.6,17
tt0004390,6.1,69
tt0004391,5.9,22
tt0004398,1.5,8
tt0004403,7.3,11
tt0004415,5.4,10
tt0004457,5.5,337
tt0004465,7.5,907
tt0004525,5.8,28
tt0004537,5.4,16
tt0004545,3.2,20
tt0004555,6.0,32
tt0004558,4.6,9
tt0004573,6.2,9
tt0004593,6.3,26
tt0004630,6.5,41
tt0004635,6.1,779
tt0004651,5.3,7
tt0004681,6.3,144
tt0004707,7.0,3075
tt0004712,6.2,146
tt0004727,1.5,8
tt0004728,3.5,12
tt0004740,5.7,11
tt0004743,5.4,88
tt0004757,6.6,7
tt0004766,5.7,154
tt0004792,6.2,10
tt0004825,6.6,206
tt0004837,7.0,14
tt0004838,5.8,124
tt0004846,5.2,20
tt0004853,7.6,12
tt0004866,4.0,8
tt0004872,6.2,189
tt0004873,6.2,336
tt0004891,6.0,7
tt0004905,5.7,26
tt0004907,7.3,22
tt0004942,4.4,8
tt0004961,6.4,8
tt0004972,6.6,20143
tt0004974,3.6,8
tt0005003,5.8,6
tt0005005,6.2,14
tt0005034,7.6,5
tt0005041,6.8,44
tt0005049,6.2,6
tt0005054,8.4,14
tt0005059,6.4,65
tt0005060,6.9,826
tt0005061,5.0,16
tt0005062,4.8,8
tt0005076,6.7,38
tt0005078,6.6,2142
tt0005084,6.6,64
tt0005087,4.1,10
tt0005098,3.8,6
tt0005149,6.1,199
tt0005160,5.0,7
tt0005163,6.6,11
tt0005172,6.0,12
tt0005179,5.6,19
tt0005180,7.0,15
tt0005190,7.8,10
tt0005192,6.0,7
tt0005193,8.2,5
tt0005195,5.1,9
tt0005196,8.0,28
tt0005200,6.6,26
tt0005208,7.0,7
tt0005209,5.7,9
tt0005214,5.2,17
tt0005231,3.0,17
tt0005250,6.6,5
tt0005302,6.9,22
tt0005339,5.9,700
tt0005352,5.6,7
tt0005353,7.2,24
tt0005363,6.9,8
tt0005368,5.4,8
tt0005377,6.3,9
tt0005381,5.3,16
tt0005384,7.8,17
tt0005393,5.5,21
tt0005402,6.6,159
tt0005411,1.0,7
tt0005460,5.4,39
tt0005496,7.2,6
tt0005513,3.9,15
tt0005514,3.8,16
tt0005522,6.0,22
tt0005529,7.1,228
tt0005535,7.7,21
tt0005551,7.7,16
tt0005553,4.1,8
tt0005556,8.3,6
tt0005557,6.5,257
tt0005561,7.3,6
tt0005562,3.7,12
tt0005566,6.1,7
tt0005579,5.9,14
tt0005589,6.1,16
tt0005592,6.4,8
tt0005600,5.6,37
tt0005604,5.4,9
tt0005613,6.3,7
tt0005615,6.9,23
tt0005621,6.9,36
tt0005644,7.0,7
tt0005667,1.0,7
tt0005680,6.1,85
tt0005682,5.5,49
tt0005683,6.3,31
tt0005700,5.8,16
tt0005719,5.9,119
tt0005733,6.2,5
tt0005739,6.6,14
tt0005746,5.0,7
tt0005756,7.3,10
tt0005772,5.6,7
tt0005802,1.8,8
tt0005808,5.2,16
tt0005809,6.1,299
tt0005823,6.8,20
tt0005831,7.4,5
tt0005832,5.9,38
tt0005871,6.8,8
tt0005879,7.9,8
tt0005901,5.1,7
tt0005905,6.8,11
tt0005915,6.4,34
tt0005916,6.9,720
tt0005928,5.2,19
tt0005930,5.4,8
tt0005931,6.8,20
tt0005939,5.1,16
tt0005945,8.6,17
tt0005951,7.0,494
tt0005955,5.4,72
tt0005960,7.0,1000
tt0005974,6.9,11
tt0005984,6.9,9
tt0005987,6.5,6
tt0005997,5.6,9
tt0006007,7.0,7
tt0006008,6.4,12
tt0006041,5.7,6
tt0006063,4.2,9
tt0006101,7.3,11
tt0006102,5.3,45
tt0006140,5.8,6
tt0006144,2.5,12
tt0006160,8.0,13
tt0006182,6.1,75
tt0006201,2.7,15
tt0006202,5.0,7
tt0006204,7.2,5
tt0006206,6.9,3809
tt0006210,5.9,7
tt0006213,3.0,14
tt0006234,7.3,6
tt0006241,7.2,13
tt0006243,5.3,11
tt0006276,7.3,14
tt0006279,1.0,8
tt0006280,1.1,8
tt0006283,6.7,16
tt0006291,7.6,13
tt0006299,8.6,8
tt0006318,5.2,12
tt0006327,6.1,139
tt0006331,6.6,5
tt0006333,6.9,1390
tt0006339,4.3,13
tt0006343,5.2,8
tt0006357,6.3,56
tt0006358,7.6,10
tt0006359,6.2,61
tt0006373,7.9,8
tt0006375,6.8,12
tt0006385,7.4,8
tt0006386,6.7,28
tt0006397,5.7,30
tt0006405,6.7,323
tt0006409,7.2,32
tt0006413,5.5,6
tt0006419,5.2,6
tt0006426,5.2,12
tt0006436,5.8,9
tt0006437,6.5,6
tt0006456,7.4,14
tt0006481,6.2,46
tt0006482,6.6,51
tt0006489,5.5,14
tt0006505,7.9,7
tt0006508,7.8,34
tt0006509,6.6,551
tt0006511,6.0,41
tt0006517,6.1,244
tt0006547,8.3,39
tt0006564,5.6,51
tt0006568,7.1,28
tt0006570,5.9,7
tt0006580,5.0,7
tt0006588,6.2,5
tt0006589,7.1,99
tt0006592,5.9,50
tt0006614,6.4,59
tt0006617,6.1,179
tt0006621,5.9,15
tt0006623,5.2,5
tt0006631,6.2,11
tt0006637,7.3,7
tt0006641,4.0,6
tt0006653,6.6,9
tt0006664,5.4,30
tt0006679,4.9,8
tt0006688,6.4,123
tt0006692,4.8,8
tt0006699,5.7,9
tt0006703,6.0,41
tt0006726,6.3,16
tt0006731,6.5,598
tt0006736,6.8,106
tt0006745,6.5,465
tt0006751,6.5,28
tt0006753,6.8,117
tt0006761,6.3,35
tt0006770,5.8,6
tt0006773,6.5,17
